UTC,PCTime,cruise_number,acoustic_observer,ac_effort,vis_effort,ot_effort
5/10/2013 17:53,5/10/2013 17:53,1303,YB,off,on,S
5/10/2013 17:58,5/10/2013 17:58,1303,SC,on,on,S
5/10/2013 18:20,5/10/2013 18:20,1303,SC,on,vch,S
5/10/2013 19:56,5/10/2013 19:56,1303,YB,on,off,S
5/10/2013 20:02,5/10/2013 20:02,1303,YB,on,on,S
5/10/2013 20:22,5/10/2013 20:22,1303,YB,on,on,S
5/10/2013 21:04,5/10/2013 21:04,1303,YB,on,vch,S
5/10/2013 21:18,5/10/2013 21:18,1303,YB,on,vch,S
5/10/2013 21:33,5/10/2013 21:33,1303,SC,on,on,S
5/10/2013 22:12,5/10/2013 22:12,1303,JT,on,on,S
5/10/2013 23:17,5/10/2013 23:17,1303,JT,on,on,S
5/10/2013 23:18,5/10/2013 23:18,1303,JT,on,on,S
5/10/2013 23:21,5/10/2013 23:21,1303,JT,on,on,S
5/11/2013 0:06,5/11/2013 0:06,1303,SC,on,on,S
5/11/2013 0:46,5/11/2013 0:46,1303,SC,off,off,S
5/11/2013 1:02,5/11/2013 1:02,1303,SC,off,on,S
5/11/2013 2:08,5/11/2013 2:08,1303,SC,off,vch,S
5/11/2013 4:14,5/11/2013 4:12,1303,SC,on,on,S
5/11/2013 5:19,5/11/2013 5:19,1303,SC,off,off,S
5/11/2013 19:22,5/11/2013 19:22,1303,SC,off,off,NS
5/11/2013 19:37,5/11/2013 19:37,1303,SC,on,on,NS
5/11/2013 19:40,5/11/2013 19:40,1303,SC,on,on,NS
5/11/2013 20:01,5/11/2013 20:01,1303,SC,on,on,NS
5/11/2013 20:17,5/11/2013 20:17,1303,PR,on,on,NS
5/11/2013 21:14,5/11/2013 21:14,1303,SC,on,on,NS
5/11/2013 21:15,5/11/2013 21:15,1303,SC,on,on,NS
5/11/2013 21:37,5/11/2013 21:37,1303,SC,on,on,NS
5/11/2013 21:39,5/11/2013 21:39,1303,PR,on,on,NS
5/11/2013 21:46,5/11/2013 21:46,1303,PR,on,on,S
5/11/2013 22:17,5/11/2013 22:17,1303,JT,on,on,S
5/11/2013 23:38,5/11/2013 23:38,1303,JT,on,on,S
5/11/2013 23:52,5/11/2013 23:52,1303,JT,on,off,S
5/11/2013 23:52,5/11/2013 23:36,1303,JT,on,off,S
5/11/2013 23:56,5/11/2013 23:36,1303,JT,on,off,S
5/12/2013 0:02,5/12/2013 0:02,1303,JT,on,on,S
5/12/2013 1:00,5/12/2013 1:00,1303,SC,on,on,S
5/12/2013 5:16,5/12/2013 5:16,1303,YB,off,off,S
5/12/2013 16:39,5/12/2013 16:34,1303,SC,on,off,S
5/12/2013 16:40,5/12/2013 16:40,1303,SC,on,on,S
5/12/2013 17:47,5/12/2013 17:47,1303,SC,on,vch,S
5/12/2013 18:04,5/12/2013 17:59,1303,YB,on,off,S
5/12/2013 18:04,5/12/2013 18:04,1303,YB,on,on,S
5/12/2013 20:02,5/12/2013 20:02,1303,PR,on,on,S
5/12/2013 22:05,5/12/2013 22:05,1303,SC,on,on,S
5/12/2013 22:56,5/12/2013 22:56,1303,SC,on,vch,S
5/12/2013 23:04,5/12/2013 23:04,1303,SC,on,off,S
5/12/2013 23:09,5/12/2013 23:09,1303,SC,on,on,S
5/13/2013 0:01,5/13/2013 0:01,1303,YB,on,on,S
5/13/2013 2:01,5/13/2013 2:01,1303,JT,on,on,S
5/13/2013 3:56,5/13/2013 3:19,1303,JT,on,vch,S
5/13/2013 3:58,5/13/2013 3:58,1303,JT,on,off,S
5/13/2013 4:12,5/13/2013 4:04,1303,SC,on,on,S
5/13/2013 5:20,5/13/2013 5:20,1303,SC,off,off,S
5/13/2013 16:36,5/13/2013 16:36,1303,YB,on,on,S
5/13/2013 16:36,5/13/2013 16:36,1303,YB,on,on,S
5/13/2013 17:17,5/13/2013 17:17,1303,YB,on,ach,S
5/13/2013 17:18,5/13/2013 17:18,1303,YB,on,ach,S
5/13/2013 17:18,5/13/2013 17:18,1303,YB,on,ach,S
5/13/2013 17:56,5/13/2013 17:56,1303,YB,on,ach,S
5/13/2013 18:31,5/13/2013 18:31,1303,YB,on,off,S
5/13/2013 18:39,5/13/2013 18:39,1303,YB,on,on,S
5/13/2013 19:35,5/13/2013 19:35,1303,YB,on,vch,S
5/13/2013 20:02,5/13/2013 20:02,1303,JT,on,vch,S
5/13/2013 20:06,5/13/2013 20:06,1303,SC,on,vch,S
5/13/2013 20:09,5/13/2013 20:09,1303,SC,off,vch,S
5/13/2013 20:15,5/13/2013 20:15,1303,SC,on,vch,S
5/13/2013 20:52,5/13/2013 20:52,1303,SC,on,vch,S
5/13/2013 21:23,5/13/2013 21:23,1303,SC,on,off,S
5/13/2013 21:30,5/13/2013 21:30,1303,SC,on,on,S
5/13/2013 21:46,5/13/2013 21:46,1303,SC,on,on,S
5/13/2013 22:03,5/13/2013 22:03,1303,YB,on,on,S
5/13/2013 23:17,5/13/2013 23:17,1303,PR,on,on,S
5/14/2013 0:04,5/14/2013 0:04,1303,JT,on,on,S
5/14/2013 0:10,5/14/2013 0:10,1303,JT,on,on,S
5/14/2013 3:17,5/14/2013 3:17,1303,SC,on,on,S
5/14/2013 3:55,5/14/2013 3:39,1303,PR,on,on,S
5/14/2013 4:22,5/14/2013 4:22,1303,SC,on,on,S
5/14/2013 5:09,5/14/2013 5:09,1303,SC,on,vch,S
5/14/2013 5:09,5/14/2013 5:09,1303,SC,on,off,S
5/14/2013 5:14,5/14/2013 5:14,1303,SC,off,off,S
5/14/2013 5:16,5/14/2013 5:16,1303,SC,off,on,S
5/14/2013 5:41,5/14/2013 5:41,1303,SC,off,off,S
5/14/2013 5:41,5/14/2013 5:41,1303,SC,off,off,S
5/14/2013 16:40,5/14/2013 16:40,1303,JT,on,off,S
5/14/2013 16:43,5/14/2013 16:43,1303,JT,on,on,S
5/14/2013 16:45,5/14/2013 16:45,1303,JT,on,on,S
