ID,survey,acid,UTC,nmin,nmin_code,rating,click.type,click_code,slow.ici,array,peak,itrk,type,lat,lon,pdist,lon2,sstAQ_m,temp105C,temp459C,temp584C,chla_m,par_m,ssh,bath,slp_deg,asp_deg,d2land_km,wind_ms,whght,wtime
1303_20,1303,20,5/13/2013 18:42,1+,3,1,slow,s,8.6,inline_pifscoil4,A,1,max,24.53922728,-168.4685691,-7717,191.5314309,24.751,22.6032,8.96142,6.49554,0.05051248,52.574,0.6000551,-5624,0.529367745,312.4836121,-69.99555206,9.78,1.777524,15.336373
1303_20,1303,20,5/13/2013 18:42,1+,3,1,slow,s,8.6,inline_pifscoil4,B,1,max,24.59652679,-168.2483722,15504,191.7516278,24.24395,22.4155,9.0957,6.5825,0.05288791,50.1,0.5971253,-5638,2.129703045,283.5011292,-50.93264008,9.67,2.4914923,9.096275
1303_20,1303,20,5/13/2013 18:42,1+,3,1,slow,s,8.6,inline_pifscoil4,B,1,min,24.59928097,-168.3107566,9500,191.6892434,24.015884,22.4155,9.0957,6.5825,0.050837312,50.384,0.5971253,-5638,0.704622388,353.0791321,-54.62400436,9.78,1.5186007,7.7473664
1303_20,1303,20,5/13/2013 18:42,1+,3,1,slow,s,8.6,inline_pifscoil4,A,1,best,24.5332758,-168.5413602,-15000,191.4586398,24.743828,22.6032,8.96142,6.49554,0.05036797,53.554,0.6000551,-5616,10.63586235,188.2532196,-74.73116302,9.99,1.5612286,13.466485
1303_20,1303,20,5/13/2013 18:42,1+,3,1,slow,s,8.6,inline_pifscoil4,A,1,min,24.53805308,-168.5460499,-15313,191.4539501,23.272163,22.6032,8.96142,6.49554,0.04971765,53.268,0.6000551,-5624,9.179911613,298.5857239,-75.95992279,9.99,1.7615267,9.579306
1303_20,1303,20,5/13/2013 18:42,1+,3,1,slow,s,8.6,inline_pifscoil4,B,1,best,24.60730299,-168.2568803,15000,191.7431197,24.211676,22.4155,9.0957,6.5825,0.05175177,50.06,0.5971253,-5638,2.554618835,284.0778809,-50.93264008,9.78,1.9609259,9.688918
1303_54,1303,54,5/18/2013 18:38,2+,4,1,creaks/regular,ckr,NA,inline_pifscoil4,B,1,min,25.59991011,-174.3240543,-6814,185.6759457,24.37878,21.3153,9.78237,7.1059,0.04944542,54.032,0.5958435,-5612,2.842513084,10.40189362,-61.68270493,7.94,2.0857444,14.9401
1303_54,1303,54,5/18/2013 18:38,2+,4,1,creaks/regular,ckr,NA,inline_pifscoil4,B,1,best,25.59654701,-174.3131986,-5750,185.6868014,24.37878,21.3153,9.78237,7.1059,0.04944542,54.032,0.5958435,-5612,2.571752548,13.46523857,-61.68270493,7.94,2.2865276,11.622349
1303_54,1303,54,5/18/2013 18:38,2+,4,1,creaks/regular,ckr,NA,inline_pifscoil4,B,1,max,25.59311462,-174.3064719,-5101,185.6935281,24.37878,21.3153,9.78237,7.1059,0.04944542,54.032,0.5958435,-5613,3.441311121,19.44668007,-60.75482559,7.94,2.2865276,11.622349
1303_54,1303,54,5/18/2013 18:38,2+,4,1,creaks/regular,ckr,NA,inline_pifscoil4,A,1,max,25.60111098,-174.179147,7741,185.820853,23.080675,21.3153,9.78237,7.1059,0.05015863,54.194,0.5958435,-5609,1.525360227,237.3166199,-55.21515656,7.73,1.9432732,10.828565
1303_54,1303,54,5/18/2013 18:38,2+,4,1,creaks/regular,ckr,NA,inline_pifscoil4,A,1,min,25.60734296,-174.2057022,5123,185.7942978,23.080675,21.3153,9.78237,7.1059,0.05015863,54.194,0.5958435,-5605,3.64776969,266.8285217,-55.89611053,7.73,1.8902693,13.620706
1303_54,1303,54,5/18/2013 18:38,2+,4,1,creaks/regular,ckr,NA,inline_pifscoil4,A,1,best,25.60401908,-174.1942218,6250,185.8057782,23.080675,21.3153,9.78237,7.1059,0.05015863,54.194,0.5958435,-5609,1.885766029,234.7725525,-55.89611053,7.73,1.0631081,8.096226
1303_71,1303,71,5/22/2013 16:53,2+,4,2,slow,s,4.7,inline_pifscoil4,B,1,max,26.33141382,-175.3645326,14887,184.6354674,23.812204,20.8606,9.97463,7.25543,0.04299393,51.46,0.5956604,-5539,0.48473838,222.4756622,-142.0600586,5.14,1.0631081,8.096226
1303_71,1303,71,5/22/2013 16:53,2+,4,2,slow,s,4.7,inline_pifscoil4,A,1,min,26.06885822,-175.2739051,-15547,184.7260949,23.917631,21.17797,9.91818,7.21118,0.04430389,52.758,0.6018862,-5211,0.417203814,261.428894,-129.2827759,4.79,1.1383289,7.357929
1303_71,1303,71,5/22/2013 16:53,2+,4,2,slow,s,4.7,inline_pifscoil4,B,1,min,26.22942982,-175.3383362,3372,184.6616638,23.70606,21.17797,9.91818,7.21118,0.044170212,51.994,0.6018862,-5552,0.52693063,13.21862507,-136.9941559,4.79,2.01,13.36
1303_71,1303,71,5/22/2013 16:53,2+,4,2,slow,s,4.7,inline_pifscoil4,A,1,best,26.10933051,-175.2836333,-11000,184.7163667,23.38763,21.17797,9.91818,7.21118,0.04526762,51.076,0.6018862,-5514,0.361384302,58.92404938,-131.0046539,4.79,2.48,11.39
1303_71,1303,71,5/22/2013 16:53,2+,4,2,slow,s,4.7,inline_pifscoil4,A,1,max,26.16900896,-175.2993658,-4248,184.7006342,24.327143,21.17797,9.91818,7.21118,0.043718755,51.818,0.6018862,-5579,0.299827397,9.912332535,-132.9546967,4.79,4.76,13.02
1303_71,1303,71,5/22/2013 16:53,2+,4,2,slow,s,4.7,inline_pifscoil4,B,1,best,26.25573677,-175.3423805,6250,184.6576195,24.047441,20.8606,9.97463,7.25543,0.043354705,50.996,0.5956604,-5535,0.361349821,334.6073608,-138.8841553,5.14,2.07,5.9
1303_72,1303,72,5/22/2013 18:03,2+,4,2,coda/slow,cds,4,inline_pifscoil4,A,1,min,26.34138826,-175.0628108,5988,184.9371892,24.533693,20.8606,9.97463,7.25543,0.04655083,54.456,0.5956604,-5547,0.370072335,282.1237183,-112.8589249,4.55,2.4,7.43
1303_72,1303,72,5/22/2013 18:03,2+,4,2,coda/slow,cds,4,inline_pifscoil4,B,1,max,26.24417745,-175.0179769,-5653,184.9820231,24.110554,20.8606,9.97463,7.25543,0.044800565,50.87,0.5956604,-5542,0.447390109,20.26182175,-105.9906006,4.33,2.07,5.9
1303_72,1303,72,5/22/2013 18:03,2+,4,2,coda/slow,cds,4,inline_pifscoil4,A,1,best,26.3596533,-175.0658443,8000,184.9341557,24.533693,20.8606,9.97463,7.25543,0.04655083,54.456,0.5956604,-5445,0.277074397,316.831543,-113.8396912,4.55,1.54,5.83
1303_72,1303,72,5/22/2013 18:03,2+,4,2,coda/slow,cds,4,inline_pifscoil4,A,1,max,26.37617023,-175.0683588,9812,184.9316412,23.690283,20.8606,9.97463,7.25543,0.046468373,54.392,0.5956604,-5309,0.316557348,299.4101563,-114.3716507,4.55,1.6,8.18
1303_72,1303,72,5/22/2013 18:03,2+,4,2,coda/slow,cds,4,inline_pifscoil4,B,1,min,26.21933868,-175.0162243,-8312,184.9837757,24.110554,21.17797,9.91818,7.21118,0.044800565,50.87,0.6018862,-5553,0.92761755,312.0870972,-105.3889542,4.33,1.45,4.29
1303_72,1303,72,5/22/2013 18:03,2+,4,2,coda/slow,cds,4,inline_pifscoil4,B,1,best,26.233763,-175.0177918,-6750,184.9822082,24.110554,20.8606,9.97463,7.25543,0.044800565,50.87,0.5956604,-5549,0.278329372,312.0830078,-105.6740723,4.33,1.34,9.9
1303_74,1303,74,5/23/2013 4:31,1,1,1,regular,r,NA,inline_pifscoil4,A,1,best,26.64702713,-173.7529534,-5000,186.2470466,23.245628,20.17544,9.819,7.16845,0.052072734,55.338,0.56141865,-5402,1.436369896,37.82667923,-67.23536682,4.13,1.5897942,11.537022
1303_74,1303,74,5/23/2013 4:31,1,1,1,regular,r,NA,inline_pifscoil4,A,1,max,26.65829387,-173.7536341,-3797,186.2463659,23.245628,20.17544,9.819,7.16845,0.052072734,55.338,0.56141865,-5369,1.340496421,43.07658005,-67.23536682,4.13,1.4411092,9.643323
1303_74,1303,74,5/23/2013 4:31,1,1,1,regular,r,NA,inline_pifscoil4,B,1,max,26.74512566,-173.7867036,6371,186.2132964,23.127293,20.17544,9.819,7.16845,0.05228707,53.508,0.56141865,-5362,0.657814384,31.71351814,-76.94796753,4.13,2.4202013,9.975354
1303_74,1303,74,5/23/2013 4:31,1,1,1,regular,r,NA,inline_pifscoil4,B,1,min,26.71905768,-173.7830616,3521,186.2169384,23.127293,20.17544,9.819,7.16845,0.05228707,53.508,0.56141865,-5384,1.001374364,27.77838516,-73.36643219,4.13,2.9142263,8.674068
1303_74,1303,74,5/23/2013 4:31,1,1,1,regular,r,NA,inline_pifscoil4,A,1,min,26.6248732,-173.7471919,-7508,186.2528081,22.800974,20.17544,9.819,7.16845,0.050513748,54.388,0.56141865,-5429,1.706844091,17.06011391,-63.75048828,4.16,3.0859914,9.015
1303_74,1303,74,5/23/2013 4:31,1,1,1,regular,r,NA,inline_pifscoil4,B,1,best,26.72601947,-173.7830373,4250,186.2169627,23.127293,20.17544,9.819,7.16845,0.05228707,53.508,0.56141865,-5402,0.711428881,29.0768261,-75.15584564,4.13,2.6781092,14.854139
