"ID","UTC","pdist","array","click_code","peak","type"
"1303_20",2013-05-13 18:42:00,15000,"inline_pifscoil4","s","A","best"
"1303_20",2013-05-13 18:42:00,15000,"inline_pifscoil4","s","B","best"
"1303_54",2013-05-18 18:38:00,5750,"inline_pifscoil4","ckr","B","best"
"1303_54",2013-05-18 18:38:00,6250,"inline_pifscoil4","ckr","A","best"
"1303_71",2013-05-22 16:53:00,11000,"inline_pifscoil4","s","A","best"
"1303_71",2013-05-22 16:53:00,6250,"inline_pifscoil4","s","B","best"
"1303_72",2013-05-22 18:03:00,8000,"inline_pifscoil4","cds","A","best"
"1303_72",2013-05-22 18:03:00,6750,"inline_pifscoil4","cds","B","best"
"1303_74",2013-05-23 04:31:00,4250,"inline_pifscoil4","r","B","best"
"1303_74",2013-05-23 04:31:00,5000,"inline_pifscoil4","r","A","best"
"1604_30",2016-07-08 22:18:00,12750,"inline_pifscoil5","s","A","best"
"1604_48",2016-07-11 04:13:00,6000,"inline_pifscoil5","rs","B","best"
"1604_48",2016-07-11 04:13:00,5000,"inline_pifscoil5","rs","A","best"
"1604_57",2016-07-11 22:33:00,6000,"inline_pifscoil5","rs","B","best"
"1604_57",2016-07-11 22:33:00,11250,"inline_pifscoil5","rs","A","best"
"1604_57",2016-07-11 22:33:00,11250,"inline_pifscoil5","rs","B","best"
"1604_57",2016-07-11 22:33:00,6000,"inline_pifscoil5","rs","A","best"
"1604_67",2016-07-12 18:58:00,15000,"inline_pifscoil5","s","B","best"
"1604_67",2016-07-12 18:58:00,15000,"inline_pifscoil5","s","A","best"
"1641_171",2010-09-20 21:46:00,4000,"hiceas2010c","cks","B","best"
"1641_171",2010-09-20 21:46:00,4000,"hiceas2010c","cks","A","best"
"1641_339",2010-11-16 00:17:00,6000,"hiceas2010d","cdckrs","B","best"
"1641_339",2010-11-16 00:17:00,6000,"hiceas2010d","cdckrs","A","best"
"1641_36",2010-08-18 20:20:00,12500,"hiceas2010c","ck","B","best"
"1641_36",2010-08-18 20:20:00,13000,"hiceas2010c","ck","A","best"
"1641_368",2010-11-26 02:02:00,250,"hiceas2010d","cds","A","best"
"1641_368",2010-11-26 02:02:00,250,"hiceas2010d","cds","B","best"
"1641_37",2010-08-18 20:30:00,5500,"hiceas2010c","ckr","B","best"
"1641_37",2010-08-18 20:30:00,5500,"hiceas2010c","ckr","A","best"
"1641_60",2010-08-26 22:15:00,4750,"hiceas2010c","r","A","best"
