"Id","UTC","GPSTime","Latitude","Longitude","Speed","SpeedType","Heading","HeadingType","TrueHeading","MagneticHeading","MagneticVariation","GPSError","DataStatus"
142754,2013-05-19 23:13:50,231350,27.35964333,-175.5008317,9.7,"N ",273.5,"T ",NA,NA,8.106857667,0,"A  "
142755,2013-05-19 23:14:12,231412,27.35976667,-175.50199,10.5,"N ",276.7,"T ",NA,NA,8.106634684,0,"A  "
142756,2013-05-19 23:14:32,231432,27.35986167,-175.5030417,10.1,"N ",278.5,"T ",NA,NA,8.106433649,0,"A  "
142757,2013-05-19 23:14:52,231452,27.35995667,-175.504105,10,"N ",275.2,"T ",NA,NA,8.10623046,0,"A  "
142758,2013-05-19 23:15:14,231514,27.36004,-175.5052717,9.9,"N ",271.1,"T ",NA,NA,8.106009268,0,"A  "
142759,2013-05-19 23:15:34,231534,27.36011833,-175.5063267,10.5,"N ",276.6,"T ",NA,NA,8.105808984,0,"A  "
142760,2013-05-19 23:15:54,231554,27.36020167,-175.5073783,9.8,"N ",273.5,"T ",NA,NA,8.105608879,0,"A  "
142761,2013-05-19 23:16:16,231616,27.36031833,-175.50854,10.4,"N ",275.1,"T ",NA,NA,8.105385756,0,"A  "
142762,2013-05-19 23:16:36,231636,27.36039333,-175.509595,10.3,"N ",277.5,"T ",NA,NA,8.105185713,0,"A  "
142763,2013-05-19 23:16:58,231658,27.36049167,-175.5107533,9.8,"N ",274.5,"T ",NA,NA,8.104964716,0,"A  "
142764,2013-05-19 23:17:18,231718,27.36057167,-175.5118,10.6,"N ",275.9,"T ",NA,NA,8.104765756,0,"A  "
142765,2013-05-19 23:17:40,231740,27.36068167,-175.5129667,9.9,"N ",276.3,"T ",NA,NA,8.104542216,0,"A  "
142766,2013-05-19 23:17:00,231800,27.36079333,-175.5140233,10.6,"N ",275.5,"T ",NA,NA,8.104338725,0,"A  "
142767,2013-05-19 23:18:20,231820,27.36088667,-175.51508,10.2,"N ",273.9,"T ",NA,NA,8.104136765,0,"A  "
142768,2013-05-19 23:18:40,231840,27.36096833,-175.51615,10.1,"N ",274.2,"T ",NA,NA,8.103933326,0,"A  "
142769,2013-05-19 23:19:02,231902,27.36106667,-175.5173067,10,"N ",275.5,"T ",NA,NA,8.103712547,0,"A  "
142770,2013-05-19 23:19:24,231924,27.36117,-175.5184733,10,"N ",278,"T ",NA,NA,8.103489494,0,"A  "
142771,2013-05-19 23:19:44,231944,27.36127667,-175.51953,10.6,"N ",275.9,"T ",NA,NA,8.103286355,0,"A  "
142772,2013-05-19 23:20:06,232006,27.36137,-175.520705,10.4,"N ",274.4,"T ",NA,NA,8.103062585,0,"A  "
142773,2013-05-19 23:20:26,232026,27.36145,-175.5217617,10.8,"N ",273.4,"T ",NA,NA,8.102861668,0,"A  "
142774,2013-05-19 23:20:48,232048,27.36156167,-175.522925,10.2,"N ",274.5,"T ",NA,NA,8.102638464,0,"A  "
142775,2013-05-19 23:21:08,232108,27.36166667,-175.52398,10.1,"N ",278.1,"T ",NA,NA,8.102435716,0,"A  "
142776,2013-05-19 23:21:28,232128,27.36178333,-175.5250317,10,"N ",276.3,"T ",NA,NA,8.102232582,0,"A  "
142777,2013-05-19 23:21:50,232150,27.36186,-175.52619,10,"N ",276.2,"T ",NA,NA,8.102013207,0,"A  "
142778,2013-05-19 23:22:10,232210,27.36193833,-175.5272333,10.4,"N ",272.2,"T ",NA,NA,8.101814815,0,"A  "
142779,2013-05-19 23:22:32,232232,27.36201667,-175.5283967,10.1,"N ",274.7,"T ",NA,NA,8.101594351,0,"A  "
142780,2013-05-19 23:22:52,232252,27.36208667,-175.529455,10.2,"N ",273.8,"T ",NA,NA,8.10139388,0,"A  "
142781,2013-05-19 23:23:14,232314,27.36215667,-175.53062,9.9,"N ",275.1,"T ",NA,NA,8.101173786,0,"A  "
142782,2013-05-19 23:23:34,232334,27.36223833,-175.5316767,10.4,"N ",277.8,"T ",NA,NA,8.10097261,0,"A  "
142783,2013-05-19 23:23:54,232354,27.36231667,-175.5327217,10.1,"N ",275.3,"T ",NA,NA,8.100773847,0,"A  "
142784,2013-05-19 23:24:14,232414,27.36239667,-175.5337717,10.4,"N ",278.4,"T ",NA,NA,8.100574012,0,"A  "
142785,2013-05-19 23:24:36,232436,27.36246667,-175.5349383,9.9,"N ",269.5,"T ",NA,NA,8.100353556,0,"A  "
142786,2013-05-19 23:24:56,232456,27.362555,-175.535995,10.1,"N ",279.8,"T ",NA,NA,8.100151764,0,"A  "
142787,2013-05-19 23:25:18,232518,27.36265667,-175.53715,10.3,"N ",272.9,"T ",NA,NA,8.099930746,0,"A  "
142788,2013-05-19 23:25:40,232540,27.36273333,-175.53831,9.6,"N ",275.3,"T ",NA,NA,8.099710908,0,"A  "
142789,2013-05-19 23:25:00,232600,27.36280333,-175.53936,10.3,"N ",276.3,"T ",NA,NA,8.099511853,0,"A  "
142790,2013-05-19 23:26:20,232620,27.36289167,-175.5403967,9.7,"N ",276.8,"T ",NA,NA,8.099313686,0,"A  "
142791,2013-05-19 23:26:40,232640,27.36300167,-175.5414467,10.7,"N ",276.8,"T ",NA,NA,8.09911122,0,"A  "
142792,2013-05-19 23:27:02,232702,27.36309333,-175.5426183,10.2,"N ",277.9,"T ",NA,NA,8.09888791,0,"A  "
142793,2013-05-19 23:27:22,232722,27.36318167,-175.5436733,10.4,"N ",272,"T ",NA,NA,8.098686331,0,"A  "
142794,2013-05-19 23:27:44,232744,27.36325167,-175.5448383,10.2,"N ",274.9,"T ",NA,NA,8.098466053,0,"A  "
142795,2013-05-19 23:28:06,232806,27.363335,-175.5459883,10.2,"N ",274.6,"T ",NA,NA,8.09824739,0,"A  "
142796,2013-05-19 23:28:26,232826,27.36342833,-175.5470267,10,"N ",275.1,"T ",NA,NA,8.098048414,0,"A  "
142797,2013-05-19 23:28:48,232848,27.363545,-175.54817,10.3,"N ",274.7,"T ",NA,NA,8.097828124,0,"A  "
142798,2013-05-19 23:29:08,232908,27.36365,-175.549225,9.8,"N ",276.9,"T ",NA,NA,8.097625066,0,"A  "
142799,2013-05-19 23:29:28,232928,27.36374333,-175.5502717,10,"N ",277.6,"T ",NA,NA,8.097424516,0,"A  "
